Date,Block,SeaTable,SampleN,SampleID,VialN,RespStartTime,O2_0_umol/L,O2_60_umol/L,O2_120_umol/L,O2_180_umol/L,O2_240_umol/L,O2_300_umol/L,O2_360_umol/L,O2_420_umol/L,MaxRespRate_umolO2/hr,RespNotes
20190723,3,T1,0513,HS_MA_LS_03_0513,12,10:21,237.8,206.6,180.5,NA,NA,NA,NA,NA,31.2,
20190723,3,T1,0515,HS_MA_LS_03_0515,13,10:22,237.5,221.4,214.2,212.6,210.7,206.8,202.9,NA,16.1,
20190723,3,T1,0545,NT_MA_LS_03_0545,14,10:24,239.3,219.2,202.4,187.2,NA,NA,NA,NA,20.1,
20190723,3,T1,0556,CS_MA_LO_03_0556,15,10:26,253.7,215.3,195.3,NA,NA,NA,NA,NA,38.4,
20190723,3,T1,0557,NT_MA_LL_03_0557,16,10:27,240.7,210.9,127.1,NA,NA,NA,NA,NA,83.8,
20190723,3,T1,0591,HS_MA_LS_03_0591,17,10:29,243.0,232.5,230.8,226.3,222.9,211.2,125.1,NA,86.1,
20190723,NA,NA,C23,Resp_C23,18,10:33,236.0,226.7,225.8,223.9,222.8,219.4,215.8,NA,,
20190724,3,T1,0666,NT_MA_LL_03_0666,1,9:45,244.3,225.4,210.5,202.4,194.6,NA,NA,NA,18.9,
20190724,3,T1,0669,CS_MA_LL_03_0669,2,9:47,241.5,236.8,189.9,NA,NA,NA,NA,NA,46.9,
20190724,3,T2,0222,NT_MA_LS_03_0222,2,11:49,240.8,232.1,192.6,156.8,NA,NA,NA,NA,39.5,
20190724,3,T1,0705,CS_RI_LS_03_0705,3,9:49,251.5,234.7,221.4,180.1,NA,NA,NA,NA,41.3,
20190724,3,T2,0519,CS_MA_LL_03_0519,3,12:51,246.3,231.0,184.6,NA,NA,NA,NA,NA,46.4,
20190724,3,T1,0720,NT_RI_LO_03_0720,4,9:51,241.3,226.3,179.3,NA,NA,NA,NA,NA,47.0,
20190724,3,T2,0253,HS_RI_LO_03_0253,4,11:54,243.3,196.1,192.8,NA,NA,NA,NA,NA,47.2,
20190724,3,T1,0749,CS_RI_LS_03_0749,5,9:52,245.4,223.5,196.0,NA,NA,NA,NA,NA,27.5,
20190724,3,T2,0532,CS_RI_LL_03_0532,5,12:53,251.6,148.7,NA,NA,NA,NA,NA,NA,102.9,
20190724,3,T1,0772,HS_MA_LS_03_0772,6,9:54,252.1,231.2,204.8,192.0,NA,NA,NA,NA,26.4,
20190724,3,T2,0538,NT_MA_LL_03_0538,6,12:55,242.9,208.9,171.7,NA,NA,NA,NA,NA,37.2,
20190724,3,T1,0809,HS_RI_LS_03_0809,7,9:55,244.3,228.7,204.3,156.3,NA,NA,NA,NA,48.0,
20190724,3,T1,0822,HS_MA_LO_03_0822,8,9:57,244.8,206.6,147.8,NA,NA,NA,NA,NA,58.8,
20190724,3,T2,0298,CS_RI_LO_03_0298,8,11:59,237.6,181.0,NA,NA,NA,NA,NA,NA,56.6,
20190724,3,T1,0823,CS_MA_LS_03_0823,9,9:58,245.4,228.8,196.6,69.5,NA,NA,NA,NA,127.1,
20190724,3,T1,0846,CS_RI_LL_03_0846,10,10:00,242.1,232.2,126.9,NA,NA,NA,NA,NA,105.3,
20190724,3,T2,0306,NT_RI_LS_03_0306,10,12:02,249.4,217.7,206.3,140.6,NA,NA,NA,NA,65.7,
20190724,3,T1,0898,CS_RI_LL_03_0898,11,10:03,235.1,198.4,168.5,NA,NA,NA,NA,NA,36.7,
20190724,3,T2,0316,CS_RI_LS_03_0316,11,12:06,235.8,209.2,191.8,152.6,NA,NA,NA,NA,39.2,
20190724,3,T1,0912,CS_MA_LS_03_0912,12,10:04,238.1,226.8,169.0,NA,NA,NA,NA,NA,57.8,
20190724,3,T2,0352,NT_MA_LL_03_0352,12,13:07,239.1,181.8,NA,NA,NA,NA,NA,NA,57.3,
20190724,3,T1,0913,CS_RI_LO_03_0913,13,10:06,238.9,208.4,131.4,NA,NA,NA,NA,NA,77.0,
20190724,3,T2,0551,NT_RI_LS_03_0551,13,13:09,243.0,224.1,219.6,201.4,NA,NA,NA,NA,18.9,
20190724,3,T1,1021,NT_MA_LO_03_1021,14,10:08,239.0,204.3,137.3,NA,NA,NA,NA,NA,67.0,
20190724,3,T2,0590,NT_MA_LS_03_0590,14,13:10,247.7,235.0,228.7,215.8,NA,NA,NA,NA,12.9,
20190724,3,T1,1026,HS_RI_LS_03_1026,15,10:09,236.5,213.8,130.2,NA,NA,NA,NA,NA,83.6,
20190724,3,T2,0595,CS_RI_LS_03_0595,15,13:11,246.8,235.7,198.6,153.6,NA,NA,NA,NA,45.0,
20190724,3,T1,1049,CS_RI_LL_03_1049,16,10:11,241.2,209.2,131.6,NA,NA,NA,NA,NA,77.6,
20190724,3,T2,0611,HS_MA_LL_03_0611,16,13:12,246.6,235.4,182.8,NA,NA,NA,NA,NA,52.6,
20190724,3,T1,1062,NT_RI_LS_03_1062,17,10:13,245.4,230.5,207.3,203.8,195.6,NA,NA,NA,23.2,
20190724,3,T2,0768,HS_RI_LO_03_0768,17,14:15,247.6,179.3,NA,NA,NA,NA,NA,NA,68.3,
20190724,3,T1,1073,HS_MA_LL_03_1073,18,10:15,241.1,227.9,218.5,173.0,NA,NA,NA,NA,45.5,
20190724,3,T2,0646,CS_MA_LL_03_0646,18,13:16,242.5,220.8,177.3,NA,NA,NA,NA,NA,43.5,
20190724,3,T2,0018,HS_MA_LO_03_0018,19,10:17,NA,226.0,218.0,187.3,NA,NA,NA,NA,30.7,initial reading inaccurate
20190724,3,T2,0650,CS_RI_LO_03_0650,19,13:19,246.5,205.6,139.8,NA,NA,NA,NA,NA,65.8,
20190724,3,T2,0024,NT_MA_LL_03_0024,20,10:19,NA,207.5,189.9,168.1,NA,NA,NA,NA,21.8,initial reading inaccurate
20190724,3,T2,0657,CS_MA_LL_03_0657,20,13:22,248.7,237.2,214.2,200.9,NA,NA,NA,NA,23.0,
20190724,3,T2,0046,CS_MA_LL_03_0046,21,10:21,NA,236.7,88.3,NA,NA,NA,NA,NA,148.4,initial reading inaccurate
20190724,3,T2,0369,CS_RI_LO_03_0369,21,12:23,250.2,63.0,NA,NA,NA,NA,NA,NA,187.2,
20190724,3,T2,0668,NT_RI_LO_03_0668,21,13:25,250.2,154.8,NA,NA,NA,NA,NA,NA,95.4,
20190724,3,T2,0060,NT_MA_LS_03_0060,22,10:23,241.9,226.6,226.2,216.1,160.8,NA,NA,NA,55.3,
20190724,3,T2,0061,NT_MA_LL_03_0061,23,10:25,240.6,238.5,224.5,169.6,NA,NA,NA,NA,54.9,
20190724,3,T2,0690,NT_RI_LS_03_0690,23,13:27,249.8,244.6,238.1,205.8,NA,NA,NA,NA,32.3,
20190724,3,T2,0087,NT_RI_LL_03_0087,24,10:26,243.6,238.3,185.0,NA,NA,NA,NA,NA,53.3,
20190724,3,T2,0413,CS_RI_LO_03_0413,24,12:28,246.3,146.2,NA,NA,NA,NA,NA,NA,100.1,
20190724,3,T2,0757,NT_RI_LO_03_0757,24,13:30,243.5,217.8,190.7,NA,NA,NA,NA,NA,27.1,
20190724,3,T2,0144,NT_MA_LS_03_0144,25,10:28,242.9,217.6,130.7,NA,NA,NA,NA,NA,86.9,
20190724,3,T2,0455,HS_MA_LL_03_0455,25,12:31,238.9,182.7,NA,NA,NA,NA,NA,NA,56.2,
20190724,3,T2,0759,HS_RI_LS_03_0759,25,13:32,243.3,240.2,226.9,213.0,NA,NA,NA,NA,13.9,
20190724,3,T2,0147,CS_MA_LO_03_0147,26,10:30,243.5,213.0,154.7,NA,NA,NA,NA,NA,58.3,
20190724,3,T2,0456,NT_MA_LO_03_0456,26,12:33,250.2,219.4,118.2,NA,NA,NA,NA,NA,101.2,
20190724,3,T2,0174,CS_MA_LL_03_0174,27,10:32,244.9,201.3,85.1,NA,NA,NA,NA,NA,116.2,
20190724,3,T2,0484,HS_RI_LS_03_0484,27,12:35,247.0,231.0,233.0,205.8,186.9,NA,NA,NA,27.2,
20190724,3,T2,0201,NT_RI_LS_03_0201,28,10:34,244.0,192.7,156.2,NA,NA,NA,NA,NA,51.3,
20190724,3,T2,0510,CS_RI_LS_03_0510,28,12:37,248.4,239.7,144.7,NA,NA,NA,NA,NA,95.0,
20190724,3,T2,0215,HS_RI_LS_03_0215,29,11:38,249.7,228.8,213.6,170.0,NA,NA,NA,NA,43.6,
20190724,NA,NA,C24,Resp_C24,30,10:38,247.7,239.8,239.4,238.6,239.1,237.7,234.6,NA,,
20190725,3,T2,0789,NT_MA_LL_03_0789,1,9:36,240.6,221.8,216.2,210.8,208.5,198.9,195.9,190.7,18.8,
20190725,3,T2,0807,HS_MA_LO_03_0807,2,9:38,238.8,184.6,NA,NA,NA,NA,NA,NA,54.2,
20190725,3,T3,0175,NT_RI_LL_03_0175,2,10:40,233.3,191.9,124.5,NA,NA,NA,NA,NA,67.4,
20190725,3,T3,0742,NT_MA_LO_03_0742,2,12:42,243.8,204.2,168.7,NA,NA,NA,NA,NA,39.6,
20190725,3,T2,0819,HS_RI_LL_03_0819,3,9:40,242.5,221.4,208.3,183.1,NA,NA,NA,NA,25.2,
20190725,3,T3,0758,CS_MA_LS_03_0758,3,12:43,246.8,199.1,127.3,NA,NA,NA,NA,NA,71.8,
20190725,3,T2,0852,HS_RI_LL_03_0852,4,9:42,237.2,194.3,166.2,NA,NA,NA,NA,NA,42.9,
20190725,3,T3,0226,HS_MA_LO_03_0226,4,11:43,243.2,171.2,NA,NA,NA,NA,NA,NA,72.0,
20190725,3,T3,0771,CS_MA_LL_03_0771,4,12:44,249.2,143.7,NA,NA,NA,NA,NA,NA,105.5,
20190725,3,T3,1074,HS_MA_LL_03_1074,4,13:46,241.3,136.7,NA,NA,NA,NA,NA,NA,104.6,
20190725,3,T2,0859,CS_MA_LS_03_0859,5,9:44,245.2,212.4,163.4,NA,NA,NA,NA,NA,49.0,
20190725,3,T3,0028,HS_RI_LO_03_0028,5,13:48,236.6,212.0,136.0,NA,NA,NA,NA,NA,76.0,
20190725,3,T3,0350,NT_RI_LL_03_0350,5,11:45,250.1,220.4,186.6,NA,NA,NA,NA,NA,33.8,
20190725,3,T2,0867,CS_RI_LO_03_0867,6,9:46,241.2,194.5,102.6,NA,NA,NA,NA,NA,91.9,
20190725,3,T3,0381,NT_RI_LO_03_0381,6,11:49,209.3,157.5,NA,NA,NA,NA,NA,NA,51.8,
20190725,3,T3,0825,NT_RI_LL_03_0825,6,12:50,212.8,175.7,107.0,NA,NA,NA,NA,NA,68.7,
20190725,3,T2,0873,NT_RI_LL_03_0873,7,9:48,240.0,85.2,NA,NA,NA,NA,NA,NA,154.8,
20190725,3,T3,0176,HS_RI_LO_03_0176,7,10:50,224.5,208.5,161.6,NA,NA,NA,NA,NA,46.9,
20190725,3,T3,0853,HS_MA_LL_03_0853,7,12:53,242.7,166.2,NA,NA,NA,NA,NA,NA,76.5,
20190725,3,T2,0890,HS_RI_LS_03_0890,8,9:50,241.5,219.8,184.8,NA,NA,NA,NA,NA,35.0,
20190725,3,T3,0382,CS_MA_LO_03_0382,8,11:52,248.7,215.9,166.1,NA,NA,NA,NA,NA,49.8,
20190725,3,T2,0892,CS_RI_LO_03_0892,9,9:52,234.9,213.0,87.4,NA,NA,NA,NA,NA,125.6,
20190725,3,T3,0409,HS_MA_LO_03_0409,9,11:54,243.6,220.5,194.9,165.3,NA,NA,NA,NA,29.6,
20190725,3,T2,0897,CS_MA_LS_03_0897,10,9:54,244.6,218.6,137.6,NA,NA,NA,NA,NA,81.0,
20190725,3,T3,0428,CS_RI_LS_03_0428,10,11:56,237.5,215.6,197.0,182.0,NA,NA,NA,NA,21.9,
20190725,3,T2,0911,CS_RI_LL_03_0911,11,9:56,237.0,216.5,186.6,NA,NA,NA,NA,NA,29.9,
20190725,3,T3,0433,HS_RI_LL_03_0433,11,11:58,236.6,118.2,NA,NA,NA,NA,NA,NA,118.4,
20190725,3,T3,0881,NT_RI_LO_03_0881,11,13:00,239.7,221.0,206.9,186.7,NA,NA,NA,NA,20.2,
20190725,3,T2,0936,NT_RI_LS_03_0936,12,9:58,234.7,217.5,208.9,203.2,190.4,181.3,NA,NA,17.2,
20190725,3,T2,0942,HS_MA_LL_03_0942,13,10:00,234.6,205.5,191.0,167.6,NA,NA,NA,NA,29.1,
20190725,3,T3,0916,HS_RI_LS_03_0916,13,13:02,238.7,222.2,192.9,177.3,NA,NA,NA,NA,29.3,
20190725,3,T2,0965,CS_MA_LL_03_0965,14,10:02,237.2,201.3,145.5,NA,NA,NA,NA,NA,55.8,
20190725,3,T3,0485,NT_RI_LS_03_0485,14,12:03,240.1,219.9,205.7,NA,NA,NA,NA,NA,20.2,
20190725,3,T2,0969,HS_RI_LS_03_0969,15,10:04,235.8,222.1,214.9,208.0,199.8,191.1,180.2,NA,13.7,
20190725,3,T2,0982,HS_MA_LS_03_0982,16,10:06,237.5,214.1,180.9,NA,NA,NA,NA,NA,33.2,
20190725,3,T3,0507,HS_RI_LO_03_0507,16,12:07,241.9,140.9,NA,NA,NA,NA,NA,NA,101.0,
20190725,3,T3,0922,CS_MA_LS_03_0922,16,13:08,236.7,172.2,NA,NA,NA,NA,NA,NA,64.5,
20190725,3,T2,0988,CS_MA_LS_03_0988,17,10:08,243.9,223.1,202.7,183.4,NA,NA,NA,NA,20.8,
20190725,3,T3,0972,NT_RI_LO_03_0972,17,13:10,245.8,171.4,NA,NA,NA,NA,NA,NA,74.4,
20190725,3,T2,1054,CS_MA_LO_03_1054,18,10:10,236.6,172.6,NA,NA,NA,NA,NA,NA,64.0,
20190725,3,T3,0546,HS_MA_LL_03_0546,18,12:10,241.7,192.6,NA,NA,NA,NA,NA,NA,49.1,
20190725,3,T3,0977,NT_MA_LS_03_0977,18,13:13,228.9,221.1,170.4,NA,NA,NA,NA,NA,50.7,
20190725,3,T2,1065,NT_RI_LO_03_1065,19,10:12,253.7,188.4,234.2,NA,NA,NA,NA,NA,65.3,
20190725,3,T3,0547,HS_MA_LO_03_0547,19,12:13,245.3,149.0,NA,NA,NA,NA,NA,NA,96.3,
20190725,3,T3,0980,CS_RI_LO_03_0980,19,13:15,234.6,167.7,NA,NA,NA,NA,NA,NA,66.9,
20190725,3,T2,1076,NT_MA_LO_03_1076,20,10:14,243.3,217.0,159.2,NA,NA,NA,NA,NA,57.8,
20190725,3,T3,0562,HS_MA_LS_03_0562,20,12:15,237.2,232.7,231.8,184.4,NA,NA,NA,NA,47.4,
20190725,3,T3,0012,CS_RI_LL_03_0012,21,10:16,248.4,240.2,193.9,NA,NA,NA,NA,NA,46.3,
20190725,3,T3,0640,HS_MA_LO_03_0640,21,12:17,251.9,180.0,NA,NA,NA,NA,NA,NA,71.9,
20190725,3,T3,1041,NT_MA_LO_03_1041,21,13:19,253.4,180.6,NA,NA,NA,NA,NA,NA,72.8,
20190725,3,T3,0641,NT_RI_LS_03_0641,22,12:19,250.1,216.0,207.0,NA,NA,NA,NA,NA,34.1,
20190725,3,T3,0032,NT_RI_LS_03_0032,23,10:20,240.9,231.9,229.4,221.1,142.9,NA,NA,NA,78.2,
20190725,3,T3,0057,NT_RI_LL_03_0057,24,10:22,245.3,200.2,119.9,NA,NA,NA,NA,NA,80.3,
20190725,3,T3,0661,HS_MA_LL_03_0661,24,12:23,246.8,236.2,200.5,178.7,NA,NA,NA,NA,35.7,
20190725,3,T3,0074,HS_MA_LS_03_0074,25,10:24,242.4,219.2,199.6,180.7,NA,NA,NA,NA,23.2,
20190725,3,T3,1056,CS_RI_LL_03_1056,25,13:25,249.8,233.0,139.3,NA,NA,NA,NA,NA,93.7,
20190725,3,T3,0105,NT_MA_LS_03_0105,26,10:26,244.6,186.0,NA,NA,NA,NA,NA,NA,58.6,
20190725,3,T3,0195,HS_MA_LL_03_0195,26,11:27,250.0,237.6,199.3,NA,NA,NA,NA,NA,38.3,
20190725,3,T3,1059,HS_MA_LL_03_1059,26,13:29,249.0,234.8,220.0,190.2,NA,NA,NA,NA,29.8,
20190725,3,T3,0127,NT_RI_LL_03_0127,27,10:28,244.7,232.1,116.9,NA,NA,NA,NA,NA,115.2,
20190725,3,T3,0672,NT_RI_LL_03_0672,27,12:30,235.2,200.8,136.3,NA,NA,NA,NA,NA,64.5,
20190725,3,T3,0136,NT_MA_LO_03_0136,28,10:30,242.5,153.6,NA,NA,NA,NA,NA,NA,88.9,
20190725,3,T3,0203,CS_MA_LL_03_0203,28,11:31,239.0,185.8,NA,NA,NA,NA,NA,NA,53.2,
20190725,3,T3,0673,CS_MA_LO_03_0673,28,12:32,238.4,176.0,NA,NA,NA,NA,NA,NA,62.4,
20190725,3,T3,1063,CS_MA_LO_03_1063,28,13:33,242.3,185.9,NA,NA,NA,NA,NA,NA,56.4,
20190725,3,T3,0138,HS_RI_LL_03_0138,29,10:32,243.4,207.1,179.4,NA,NA,NA,NA,NA,36.3,
20190725,3,T3,0678,NT_RI_LS_03_0678,29,12:33,242.6,227.5,227.7,218.4,208.0,NA,NA,NA,15.1,
20190725,NA,NA,C25,Resp_C25,30,10:34,245.1,237.7,234.5,230.1,224.2,216.4,206.9,NA,,
20190726,3,T1,0049,NT_MA_LS_05_0049,1,9:30,230.0,220.0,201.6,199.1,197.1,171.5,NA,NA,25.6,
20190726,3,T1,0102,CS_RI_LS_05_0102,2,9:31,225.5,211.4,168.8,NA,NA,NA,NA,NA,42.6,
20190726,3,T1,0330,HS_RI_LS_05_0330,3,9:32,228.3,214.2,198.7,159.2,NA,NA,NA,NA,39.5,
20190726,3,T1,0549,HS_RI_LO_05_0549,4,9:33,225.9,109.2,NA,NA,NA,NA,NA,NA,116.7,
20190726,3,T1,0554,CS_RI_LO_05_0554,5,9:34,228.7,130.4,NA,NA,NA,NA,NA,NA,98.3,
20190726,3,T1,0555,HS_RI_LS_05_0555,6,9:35,229.8,211.5,185.5,166.5,NA,NA,NA,NA,26.0,
20190726,3,T1,0378,HS_MA_LL_05_0378,7,13:54,230.0,22.8,NA,NA,NA,NA,NA,NA,207.2,
20190726,3,T1,0928,HS_MA_LO_05_0928,8,9:37,214.4,198.3,132.2,NA,NA,NA,NA,NA,66.1,
20190726,3,T2,0575,NT_RI_LO_05_0575,9,9:38,227.1,175.7,NA,NA,NA,NA,NA,NA,51.4,
20190726,3,T2,0878,CS_MA_LS_05_0878,10,9:39,234.4,209.2,183.4,NA,NA,NA,NA,NA,25.8,
20190726,3,T3,0027,CS_MA_LL_05_0027,11,9:40,238.0,199.8,148.1,NA,NA,NA,NA,NA,51.7,
20190726,3,T3,0229,NT_RI_LS_05_0229,12,9:41,240.1,214.3,193.4,91.5,NA,NA,NA,NA,101.9,
20190726,3,T3,0294,CS_MA_LO_05_0294,13,9:42,236.4,197.0,171.8,NA,NA,NA,NA,NA,39.4,
20190726,3,T3,0318,CS_MA_LO_05_0318,14,9:43,238.2,177.6,NA,NA,NA,NA,NA,NA,60.6,
20190726,3,T3,0346,NT_RI_LO_05_0346,15,9:44,235.5,212.6,181.9,NA,NA,NA,NA,NA,30.7,
20190726,3,T3,0384,CS_MA_LO_05_0384,16,9:45,238.8,210.7,175.0,NA,NA,NA,NA,NA,35.7,
20190726,3,T3,0459,CS_MA_LO_05_0459,17,9:46,244.6,162.0,NA,NA,NA,NA,NA,NA,82.6,
20190726,3,T3,0460,CS_RI_LS_05_0460,18,9:47,238.5,216.4,158.6,NA,NA,NA,NA,NA,57.8,
20190726,3,T3,0645,HS_RI_LS_05_0645,19,9:48,244.4,212.9,166.1,NA,NA,NA,NA,NA,46.8,
20190726,3,T3,0975,HS_MA_LO_05_0975,20,9:49,244.4,204.0,134.1,NA,NA,NA,NA,NA,69.9,
20190726,3,T3,0850,CS_MA_LL_05_0850,21,9:50,249.8,168.2,NA,NA,NA,NA,NA,NA,81.6,
20190726,3,T3,1068,NT_MA_LS_05_1068,22,9:52,245.3,221.8,194.9,NA,NA,NA,NA,NA,26.9,
20190726,3,T3,1070,NT_MA_LO_05_1070,23,9:53,245.0,192.4,NA,NA,NA,NA,NA,NA,52.6,
20190726,NA,NA,C26,Resp_C26,24,9:54,246.6,227.8,222.8,NA,202.4,NA,NA,NA,,
